Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
217830,AA Batteries (4-pack),1,3.84,08/02/22 07:21,"631 Jefferson St, Los Angeles, CA 90001"
217831,AAA Batteries (4-pack),1,2.99,08/24/22 11:46,"623 Church St, Dallas, TX 75001"
217832,27in FHD Monitor,1,149.99,08/05/22 22:48,"538 5th St, Boston, MA 02215"
217833,USB-C Charging Cable,1,11.95,08/30/22 21:01,"371 1st St, San Francisco, CA 94016"
217834,AA Batteries (4-pack),1,3.84,08/27/22 09:06,"177 Lake St, San Francisco, CA 94016"
217835,Apple Airpods Headphones,1,150.0,08/01/22 12:07,"70 River St, Dallas, TX 75001"
217836,USB-C Charging Cable,1,11.95,08/22/22 23:10,"11 13th St, Dallas, TX 75001"
217837,27in 4K Gaming Monitor,1,389.99,08/25/22 09:16,"77 Maple St, Dallas, TX 75001"
217838,20in Monitor,1,109.99,08/13/22 12:01,"632 1st St, Los Angeles, CA 90001"
217839,27in FHD Monitor,1,149.99,08/07/22 12:23,"603 Center St, San Francisco, CA 94016"
217840,34in Ultrawide Monitor,1,379.99,08/03/22 12:08,"612 Walnut St, Dallas, TX 75001"
217841,AAA Batteries (4-pack),1,2.99,08/04/22 13:08,"190 Jefferson St, Atlanta, GA 30301"
217842,AAA Batteries (4-pack),1,2.99,08/12/22 12:23,"450 Lake St, Seattle, WA 98101"
217843,Wired Headphones,1,11.99,08/01/22 20:58,"801 Washington St, San Francisco, CA 94016"
217844,Bose SoundSport Headphones,1,99.99,08/05/22 17:36,"408 Dogwood St, Atlanta, GA 30301"
217845,iPhone,1,700.0,08/31/22 12:43,"164 14th St, Seattle, WA 98101"
217845,Lightning Charging Cable,2,14.95,08/31/22 12:43,"164 14th St, Seattle, WA 98101"
217846,Wired Headphones,1,11.99,08/19/22 23:55,"673 South St, Los Angeles, CA 90001"
217847,Macbook Pro Laptop,1,1700.0,08/13/22 19:02,"453 Center St, New York City, NY 10001"
217848,Lightning Charging Cable,1,14.95,08/30/22 14:40,"955 12th St, New York City, NY 10001"
217849,Wired Headphones,1,11.99,08/10/22 10:53,"627 Dogwood St, Austin, TX 73301"
217850,Wired Headphones,1,11.99,08/31/22 03:31,"572 Elm St, Boston, MA 02215"
217851,Apple Airpods Headphones,1,150.0,08/06/22 13:25,"359 Cherry St, San Francisco, CA 94016"
217852,Apple Airpods Headphones,1,150.0,08/15/22 10:08,"261 9th St, Los Angeles, CA 90001"
217853,27in 4K Gaming Monitor,1,389.99,08/02/22 12:53,"665 Maple St, New York City, NY 10001"
217854,AA Batteries (4-pack),1,3.84,08/01/22 22:48,"767 12th St, Seattle, WA 98101"
217855,Lightning Charging Cable,1,14.95,08/05/22 17:59,"543 Center St, New York City, NY 10001"
217856,Macbook Pro Laptop,1,1700.0,08/13/22 10:19,"367 Park St, New York City, NY 10001"
217857,Wired Headphones,1,11.99,08/05/22 18:39,"338 Jefferson St, New York City, NY 10001"
217858,LG Washing Machine,1,600.0,08/11/22 16:54,"691 Spruce St, San Francisco, CA 94016"
217859,Bose SoundSport Headphones,1,99.99,08/09/22 10:05,"692 Lakeview St, Boston, MA 02215"
217860,Google Phone,1,600.0,08/18/22 16:31,"956 Cedar St, Boston, MA 02215"
217860,USB-C Charging Cable,1,11.95,08/18/22 16:31,"956 Cedar St, Boston, MA 02215"
217861,AA Batteries (4-pack),1,3.84,08/27/22 18:04,"325 Meadow St, Los Angeles, CA 90001"
217862,AA Batteries (4-pack),1,3.84,08/13/22 21:14,"426 Spruce St, Portland, OR 97035"
217863,USB-C Charging Cable,1,11.95,08/19/22 19:42,"447 8th St, Los Angeles, CA 90001"
217864,iPhone,1,700.0,08/19/22 14:20,"526 Chestnut St, Portland, OR 97035"
217865,34in Ultrawide Monitor,1,379.99,08/06/22 21:05,"525 Highland St, San Francisco, CA 94016"
217866,AA Batteries (4-pack),1,3.84,08/12/22 19:23,"336 13th St, San Francisco, CA 94016"
217867,Google Phone,1,600.0,08/26/22 13:31,"125 7th St, New York City, NY 10001"
217867,Wired Headphones,1,11.99,08/26/22 13:31,"125 7th St, New York City, NY 10001"
217868,USB-C Charging Cable,1,11.95,08/02/22 21:23,"294 Center St, Boston, MA 02215"
217868,Flatscreen TV,1,300.0,08/02/22 21:23,"294 Center St, Boston, MA 02215"
217869,ThinkPad Laptop,1,999.99,08/15/22 11:06,"724 Madison St, Los Angeles, CA 90001"
217870,iPhone,1,700.0,08/23/22 18:33,"971 Center St, Los Angeles, CA 90001"
