Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
280647,AA Batteries (4-pack),1,3.84,12/22/22 13:23,"207 Maple St, San Francisco, CA 94016"
280648,AA Batteries (4-pack),1,3.84,12/02/22 15:36,"403 11th St, Boston, MA 02215"
280649,AAA Batteries (4-pack),1,2.99,12/11/22 15:34,"60 Hill St, Boston, MA 02215"
280650,34in Ultrawide Monitor,1,379.99,12/30/22 21:02,"750 Forest St, Atlanta, GA 30301"
280651,USB-C Charging Cable,1,11.95,12/13/22 23:27,"160 Center St, Boston, MA 02215"
280652,iPhone,1,700.0,12/24/22 17:43,"641 Lakeview St, Austin, TX 73301"
280652,Apple Airpods Headphones,1,150.0,12/24/22 17:43,"641 Lakeview St, Austin, TX 73301"
280653,Wired Headphones,1,11.99,12/07/22 11:07,"367 Pine St, Austin, TX 73301"
280654,AAA Batteries (4-pack),3,2.99,12/24/22 21:38,"514 Lake St, Boston, MA 02215"
280655,USB-C Charging Cable,1,11.95,12/17/22 08:35,"66 Cedar St, San Francisco, CA 94016"
280656,USB-C Charging Cable,1,11.95,12/18/22 12:06,"28 North St, Portland, ME 04101"
280657,Wired Headphones,1,11.99,12/06/22 21:24,"553 Washington St, San Francisco, CA 94016"
280658,AAA Batteries (4-pack),2,2.99,12/12/22 14:39,"452 Maple St, Los Angeles, CA 90001"
280659,USB-C Charging Cable,1,11.95,12/06/22 14:12,"524 5th St, New York City, NY 10001"
280660,Apple Airpods Headphones,1,150.0,12/07/22 23:19,"607 1st St, San Francisco, CA 94016"
280661,AA Batteries (4-pack),2,3.84,12/20/22 13:48,"188 South St, San Francisco, CA 94016"
280662,Apple Airpods Headphones,1,150.0,12/03/22 11:46,"365 6th St, Boston, MA 02215"
280663,Bose SoundSport Headphones,1,99.99,12/17/22 10:49,"596 Johnson St, Atlanta, GA 30301"
280664,USB-C Charging Cable,1,11.95,12/31/22 17:00,"979 Forest St, New York City, NY 10001"
280665,Lightning Charging Cable,1,14.95,12/16/22 07:08,"226 Walnut St, San Francisco, CA 94016"
280666,Wired Headphones,1,11.99,12/04/22 09:34,"74 1st St, San Francisco, CA 94016"
280667,USB-C Charging Cable,1,11.95,12/29/22 22:28,"432 Hickory St, Portland, OR 97035"
280668,Flatscreen TV,1,300.0,12/17/22 11:19,"15 Dogwood St, Atlanta, GA 30301"
280668,27in 4K Gaming Monitor,1,389.99,12/17/22 11:19,"15 Dogwood St, Atlanta, GA 30301"
280669,27in 4K Gaming Monitor,1,389.99,12/17/22 12:54,"671 Lakeview St, Portland, OR 97035"
280670,iPhone,1,700.0,12/30/22 11:53,"702 Dogwood St, San Francisco, CA 94016"
280671,Apple Airpods Headphones,1,150.0,12/13/22 16:13,"193 Spruce St, Portland, OR 97035"
280672,Wired Headphones,1,11.99,12/14/22 11:12,"813 Forest St, San Francisco, CA 94016"
280673,Bose SoundSport Headphones,1,99.99,12/14/22 15:37,"87 Spruce St, San Francisco, CA 94016"
280674,Wired Headphones,1,11.99,12/17/22 10:26,"11 North St, Los Angeles, CA 90001"
280675,iPhone,1,700.0,12/09/22 15:07,"3 Spruce St, Seattle, WA 98101"
280676,USB-C Charging Cable,1,11.95,12/15/22 21:52,"369 Church St, Dallas, TX 75001"
280677,27in FHD Monitor,1,149.99,12/25/22 06:18,"128 Spruce St, San Francisco, CA 94016"
280678,AAA Batteries (4-pack),2,2.99,12/09/22 11:48,"430 8th St, New York City, NY 10001"
280679,USB-C Charging Cable,1,11.95,12/09/22 19:59,"659 Johnson St, Boston, MA 02215"
280680,AAA Batteries (4-pack),1,2.99,12/02/22 15:33,"434 Pine St, San Francisco, CA 94016"
280681,27in 4K Gaming Monitor,1,389.99,12/09/22 19:19,"200 13th St, San Francisco, CA 94016"
280682,Apple Airpods Headphones,1,150.0,12/05/22 17:56,"443 Center St, San Francisco, CA 94016"
280683,Lightning Charging Cable,1,14.95,12/07/22 20:59,"451 4th St, New York City, NY 10001"
280684,Lightning Charging Cable,1,14.95,12/26/22 15:11,"81 Johnson St, New York City, NY 10001"
280685,Lightning Charging Cable,1,14.95,12/29/22 21:34,"29 Ridge St, New York City, NY 10001"
280686,Google Phone,1,600.0,12/31/22 02:53,"397 Cherry St, Boston, MA 02215"
280687,Lightning Charging Cable,1,14.95,12/03/22 11:03,"795 Jefferson St, Portland, ME 04101"
280688,AAA Batteries (4-pack),1,2.99,12/29/22 16:07,"829 2nd St, San Francisco, CA 94016"
280689,USB-C Charging Cable,1,11.95,12/30/22 23:00,"950 Spruce St, Los Angeles, CA 90001"
280690,Apple Airpods Headphones,1,150.0,12/02/22 08:43,"22 14th St, Austin, TX 73301"
280691,Wired Headphones,1,11.99,12/10/22 08:51,"364 Spruce St, San Francisco, CA 94016"
280692,AA Batteries (4-pack),2,3.84,12/04/22 06:35,"887 6th St, Atlanta, GA 30301"
280693,34in Ultrawide Monitor,1,379.99,12/28/22 19:02,"6 5th St, Dallas, TX 75001"
280694,AAA Batteries (4-pack),1,2.99,12/21/22 14:14,"552 12th St, Seattle, WA 98101"
280695,Apple Airpods Headphones,1,150.0,12/13/22 10:09,"354 Main St, Austin, TX 73301"
280696,AAA Batteries (4-pack),2,2.99,12/11/22 13:44,"891 Jackson St, New York City, NY 10001"
280697,Lightning Charging Cable,1,14.95,12/01/22 22:51,"450 1st St, New York City, NY 10001"
280698,34in Ultrawide Monitor,1,379.99,12/06/22 07:05,"914 Wilson St, San Francisco, CA 94016"
280699,Apple Airpods Headphones,1,150.0,12/31/22 15:51,"266 West St, New York City, NY 10001"
280700,iPhone,1,700.0,12/19/22 11:55,"31 Dogwood St, New York City, NY 10001"
280701,AA Batteries (4-pack),2,3.84,12/29/22 08:48,"130 North St, Atlanta, GA 30301"
280702,AAA Batteries (4-pack),3,2.99,12/05/22 16:11,"850 14th St, Los Angeles, CA 90001"
280703,AAA Batteries (4-pack),2,2.99,12/23/22 15:02,"147 Washington St, New York City, NY 10001"
280704,20in Monitor,1,109.99,12/21/22 15:32,"339 Spruce St, Dallas, TX 75001"
280705,USB-C Charging Cable,1,11.95,12/20/22 08:45,"725 Lakeview St, Dallas, TX 75001"
280706,27in FHD Monitor,1,149.99,12/03/22 20:34,"309 Park St, Portland, OR 97035"
280707,USB-C Charging Cable,1,11.95,12/04/22 12:04,"12 Lakeview St, San Francisco, CA 94016"
280708,USB-C Charging Cable,1,11.95,12/09/22 19:01,"815 South St, San Francisco, CA 94016"
280709,USB-C Charging Cable,1,11.95,12/02/22 12:43,"352 Cherry St, Austin, TX 73301"
280710,20in Monitor,1,109.99,12/22/22 05:24,"661 North St, Boston, MA 02215"
280711,AA Batteries (4-pack),2,3.84,12/09/22 15:47,"42 Madison St, New York City, NY 10001"
280712,AAA Batteries (4-pack),4,2.99,12/10/22 22:13,"9 11th St, Austin, TX 73301"
280713,27in FHD Monitor,1,149.99,12/07/22 18:47,"863 Church St, San Francisco, CA 94016"
280714,Google Phone,1,600.0,12/22/22 14:41,"386 Church St, San Francisco, CA 94016"
280714,USB-C Charging Cable,1,11.95,12/22/22 14:41,"386 Church St, San Francisco, CA 94016"
280715,AA Batteries (4-pack),1,3.84,12/20/22 23:57,"659 10th St, Los Angeles, CA 90001"
280716,USB-C Charging Cable,1,11.95,12/07/22 14:37,"127 Church St, San Francisco, CA 94016"
280717,20in Monitor,1,109.99,12/30/22 22:30,"584 Adams St, San Francisco, CA 94016"
280718,USB-C Charging Cable,1,11.95,12/05/22 11:52,"546 7th St, Seattle, WA 98101"
280719,AAA Batteries (4-pack),1,2.99,12/21/22 09:50,"64 Elm St, San Francisco, CA 94016"
280720,Wired Headphones,1,11.99,12/13/22 21:52,"965 2nd St, Atlanta, GA 30301"
280721,AA Batteries (4-pack),1,3.84,12/03/22 19:46,"939 Highland St, Los Angeles, CA 90001"
280722,AA Batteries (4-pack),1,3.84,12/18/22 08:01,"548 4th St, Austin, TX 73301"
280723,Apple Airpods Headphones,1,150.0,12/13/22 11:30,"599 Pine St, San Francisco, CA 94016"
280724,LG Washing Machine,1,600.0,12/28/22 00:16,"44 9th St, New York City, NY 10001"
280725,USB-C Charging Cable,1,11.95,12/29/22 13:09,"80 River St, San Francisco, CA 94016"
280726,Wired Headphones,1,11.99,12/07/22 20:23,"473 11th St, Los Angeles, CA 90001"
280726,Apple Airpods Headphones,1,150.0,12/07/22 20:23,"473 11th St, Los Angeles, CA 90001"
280727,27in FHD Monitor,1,149.99,12/30/22 16:56,"64 12th St, New York City, NY 10001"
280728,Lightning Charging Cable,1,14.95,12/16/22 18:46,"607 Johnson St, Atlanta, GA 30301"
280729,AAA Batteries (4-pack),2,2.99,12/26/22 21:45,"727 Chestnut St, Dallas, TX 75001"
280730,Apple Airpods Headphones,1,150.0,12/18/22 23:44,"716 13th St, Atlanta, GA 30301"
280731,Macbook Pro Laptop,1,1700.0,12/11/22 21:50,"960 Willow St, Dallas, TX 75001"
280732,AAA Batteries (4-pack),1,2.99,12/16/22 18:17,"613 14th St, Dallas, TX 75001"
280733,Flatscreen TV,1,300.0,12/21/22 09:01,"254 6th St, Austin, TX 73301"
280734,USB-C Charging Cable,1,11.95,12/08/22 11:06,"428 Lake St, Los Angeles, CA 90001"
280735,Lightning Charging Cable,1,14.95,12/30/22 23:29,"11 Spruce St, Boston, MA 02215"
280736,USB-C Charging Cable,1,11.95,12/20/22 16:14,"157 Ridge St, San Francisco, CA 94016"
280737,Apple Airpods Headphones,1,150.0,12/29/22 17:10,"918 Adams St, Los Angeles, CA 90001"
280738,27in FHD Monitor,1,149.99,12/31/22 19:23,"682 North St, Atlanta, GA 30301"
280739,Apple Airpods Headphones,1,150.0,12/06/22 12:18,"871 Jackson St, Seattle, WA 98101"
280740,ThinkPad Laptop,1,999.99,12/28/22 18:37,"332 Cherry St, Los Angeles, CA 90001"
280741,ThinkPad Laptop,1,999.99,12/25/22 11:57,"942 Adams St, Austin, TX 73301"
280742,27in FHD Monitor,1,149.99,12/30/22 18:57,"435 1st St, Austin, TX 73301"
280743,Lightning Charging Cable,1,14.95,12/10/22 18:07,"795 7th St, New York City, NY 10001"
280744,Vareebadd Phone,1,400.0,12/21/22 10:07,"741 Maple St, Los Angeles, CA 90001"
280745,Lightning Charging Cable,1,14.95,12/09/22 14:00,"521 1st St, Atlanta, GA 30301"
280746,AA Batteries (4-pack),1,3.84,12/18/22 07:34,"529 Pine St, Dallas, TX 75001"
280747,USB-C Charging Cable,1,11.95,12/13/22 09:18,"550 Johnson St, New York City, NY 10001"
280748,AAA Batteries (4-pack),1,2.99,12/06/22 00:59,"72 Pine St, New York City, NY 10001"
280749,USB-C Charging Cable,1,11.95,12/31/22 04:13,"253 River St, Los Angeles, CA 90001"
280750,AAA Batteries (4-pack),1,2.99,12/26/22 07:55,"551 12th St, Los Angeles, CA 90001"
280751,Bose SoundSport Headphones,1,99.99,12/20/22 22:21,"165 Main St, Atlanta, GA 30301"
280752,20in Monitor,1,109.99,12/07/22 11:46,"197 8th St, San Francisco, CA 94016"
280753,Google Phone,1,600.0,12/03/22 14:02,"902 Pine St, Dallas, TX 75001"
