Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
155732,27in FHD Monitor,1,149.99,02/11/22 12:00,"254 Madison St, San Francisco, CA 94016"
155733,Bose SoundSport Headphones,1,99.99,02/09/22 15:47,"309 Spruce St, New York City, NY 10001"
155734,Bose SoundSport Headphones,1,99.99,02/11/22 13:08,"323 6th St, Boston, MA 02215"
155735,AA Batteries (4-pack),2,3.84,02/24/22 12:24,"546 5th St, Los Angeles, CA 90001"
155736,AA Batteries (4-pack),1,3.84,02/26/22 20:47,"377 12th St, New York City, NY 10001"
155737,AA Batteries (4-pack),1,3.84,02/08/22 17:14,"680 13th St, Los Angeles, CA 90001"
155738,AA Batteries (4-pack),1,3.84,02/14/22 17:37,"900 Spruce St, Boston, MA 02215"
155739,USB-C Charging Cable,1,11.95,02/03/22 06:36,"213 6th St, Atlanta, GA 30301"
155740,AAA Batteries (4-pack),1,2.99,02/28/22 16:43,"391 Hickory St, Seattle, WA 98101"
155741,iPhone,1,700.0,02/12/22 11:34,"424 4th St, Seattle, WA 98101"
155742,27in 4K Gaming Monitor,1,389.99,02/10/22 01:33,"850 9th St, Boston, MA 02215"
155743,Lightning Charging Cable,2,14.95,02/04/22 11:31,"794 13th St, Los Angeles, CA 90001"
155744,Lightning Charging Cable,1,14.95,02/21/22 22:25,"881 North St, Los Angeles, CA 90001"
155745,Wired Headphones,1,11.99,02/16/22 14:11,"553 Hickory St, Dallas, TX 75001"
155746,AAA Batteries (4-pack),1,2.99,02/18/22 11:28,"589 Willow St, Portland, ME 04101"
155747,27in FHD Monitor,1,149.99,02/27/22 12:03,"719 Willow St, Los Angeles, CA 90001"
155748,iPhone,1,700.0,02/22/22 20:13,"596 Washington St, Portland, ME 04101"
155749,iPhone,1,700.0,02/05/22 09:46,"957 Highland St, Dallas, TX 75001"
155750,Wired Headphones,1,11.99,02/24/22 13:18,"678 Elm St, Dallas, TX 75001"
155751,27in 4K Gaming Monitor,1,389.99,02/23/22 16:32,"330 North St, Seattle, WA 98101"
155752,20in Monitor,1,109.99,02/23/22 18:39,"422 Jackson St, Austin, TX 73301"
155753,Flatscreen TV,1,300.0,02/12/22 12:33,"412 Elm St, New York City, NY 10001"
155754,Macbook Pro Laptop,1,1700.0,02/12/22 18:09,"693 13th St, Los Angeles, CA 90001"
155755,AAA Batteries (4-pack),1,2.99,02/20/22 14:01,"176 South St, San Francisco, CA 94016"
155756,20in Monitor,1,109.99,02/02/22 16:05,"193 Jefferson St, Portland, OR 97035"
155757,Bose SoundSport Headphones,1,99.99,02/18/22 13:33,"577 4th St, San Francisco, CA 94016"
155758,Apple Airpods Headphones,1,150.0,02/09/22 19:11,"394 Jackson St, San Francisco, CA 94016"
