Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,Bose SoundSport Headphones,1,99.99,01/26/22 09:50,"287 Dogwood St, San Francisco, CA 94016"
141235,Google Phone,1,600.0,01/04/22 14:27,"873 5th St, Boston, MA 02215"
141236,Wired Headphones,1,11.99,01/27/22 10:54,"87 Sunset St, Atlanta, GA 30301"
141237,AAA Batteries (4-pack),1,2.99,01/20/22 21:35,"499 Lake St, Portland, OR 97035"
141238,Apple Airpods Headphones,1,150.0,01/06/22 12:26,"164 14th St, Austin, TX 73301"
141239,Flatscreen TV,1,300.0,01/16/22 11:20,"921 Meadow St, San Francisco, CA 94016"
141240,AA Batteries (4-pack),1,3.84,01/22/22 12:48,"476 Meadow St, Los Angeles, CA 90001"
141241,USB-C Charging Cable,1,11.95,01/23/22 08:39,"483 Forest St, Los Angeles, CA 90001"
141242,27in 4K Gaming Monitor,1,389.99,01/14/22 17:38,"270 Lakeview St, San Francisco, CA 94016"
141243,Apple Airpods Headphones,1,150.0,01/15/22 16:36,"83 Sunset St, New York City, NY 10001"
141244,AA Batteries (4-pack),1,3.84,01/28/22 12:25,"72 10th St, Austin, TX 73301"
141245,AA Batteries (4-pack),3,3.84,01/30/22 14:32,"857 Cedar St, New York City, NY 10001"
141246,AAA Batteries (4-pack),1,2.99,01/12/22 22:46,"273 9th St, Dallas, TX 75001"
141247,27in FHD Monitor,1,149.99,01/04/22 03:03,"583 12th St, Dallas, TX 75001"
141248,AAA Batteries (4-pack),2,2.99,01/23/22 12:20,"409 Forest St, New York City, NY 10001"
141249,27in 4K Gaming Monitor,1,389.99,01/13/22 12:32,"857 Forest St, Dallas, TX 75001"
141250,Wired Headphones,1,11.99,01/11/22 08:24,"424 Ridge St, Los Angeles, CA 90001"
141251,AAA Batteries (4-pack),1,2.99,01/12/22 19:36,"104 Lakeview St, San Francisco, CA 94016"
141252,Bose SoundSport Headphones,1,99.99,01/17/22 00:14,"547 6th St, Atlanta, GA 30301"
141253,Apple Airpods Headphones,1,150.0,01/12/22 16:22,"287 Lakeview St, Seattle, WA 98101"
141254,Lightning Charging Cable,1,14.95,02/01/22 02:02,"969 Maple St, New York City, NY 10001"
