Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
208328,Bose SoundSport Headphones,1,99.99,07/03/22 18:40,"673 Johnson St, Los Angeles, CA 90001"
208329,Wired Headphones,1,11.99,07/08/22 15:21,"197 Dogwood St, Boston, MA 02215"
208330,AAA Batteries (4-pack),1,2.99,07/19/22 09:15,"945 Johnson St, Los Angeles, CA 90001"
208331,AA Batteries (4-pack),1,3.84,07/05/22 19:17,"20 River St, Boston, MA 02215"
208332,Wired Headphones,1,11.99,07/10/22 20:20,"872 13th St, Austin, TX 73301"
208333,AA Batteries (4-pack),1,3.84,07/25/22 19:19,"928 Jefferson St, San Francisco, CA 94016"
208334,USB-C Charging Cable,1,11.95,07/04/22 10:34,"734 14th St, San Francisco, CA 94016"
208335,AA Batteries (4-pack),1,3.84,07/30/22 22:39,"871 North St, New York City, NY 10001"
208336,Lightning Charging Cable,1,14.95,07/26/22 12:30,"158 Wilson St, Portland, OR 97035"
208337,Apple Airpods Headphones,1,150.0,07/10/22 13:44,"141 12th St, San Francisco, CA 94016"
208338,USB-C Charging Cable,2,11.95,07/12/22 05:12,"777 6th St, San Francisco, CA 94016"
208339,Macbook Pro Laptop,1,1700.0,07/09/22 06:15,"138 1st St, San Francisco, CA 94016"
208340,AA Batteries (4-pack),4,3.84,07/24/22 08:22,"944 Hickory St, New York City, NY 10001"
208341,LG Dryer,1,600.0,07/26/22 12:40,"529 Lincoln St, Dallas, TX 75001"
208342,AA Batteries (4-pack),1,3.84,07/25/22 20:11,"756 Chestnut St, San Francisco, CA 94016"
208343,iPhone,1,700.0,07/17/22 10:34,"418 Lake St, Seattle, WA 98101"
208344,AA Batteries (4-pack),1,3.84,07/25/22 10:56,"140 Pine St, Los Angeles, CA 90001"
208345,Bose SoundSport Headphones,1,99.99,07/08/22 22:07,"361 North St, Austin, TX 73301"
208346,USB-C Charging Cable,1,11.95,07/23/22 23:22,"127 Ridge St, Dallas, TX 75001"
