Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
198674,Wired Headphones,1,11.99,06/26/22 16:46,"145 Wilson St, Los Angeles, CA 90001"
198675,AA Batteries (4-pack),1,3.84,06/20/22 06:15,"423 12th St, New York City, NY 10001"
198676,Apple Airpods Headphones,1,150.0,06/12/22 18:10,"700 Hickory St, Boston, MA 02215"
198677,Apple Airpods Headphones,1,150.0,06/11/22 13:19,"561 Willow St, San Francisco, CA 94016"
198678,Wired Headphones,1,11.99,06/12/22 19:06,"879 Hickory St, Dallas, TX 75001"
198679,USB-C Charging Cable,2,11.95,06/26/22 14:39,"108 Washington St, New York City, NY 10001"
198680,Bose SoundSport Headphones,1,99.99,06/02/22 19:25,"685 Dogwood St, Los Angeles, CA 90001"
198681,27in FHD Monitor,1,149.99,06/16/22 01:50,"284 7th St, Los Angeles, CA 90001"
198682,AA Batteries (4-pack),1,3.84,06/04/22 18:04,"911 11th St, San Francisco, CA 94016"
198683,AA Batteries (4-pack),1,3.84,06/01/22 15:15,"69 Johnson St, Portland, ME 04101"
198684,27in FHD Monitor,1,149.99,06/21/22 20:25,"101 14th St, Austin, TX 73301"
198685,27in FHD Monitor,1,149.99,06/21/22 21:21,"409 5th St, Austin, TX 73301"
198686,Lightning Charging Cable,1,14.95,06/06/22 19:28,"134 Walnut St, Dallas, TX 75001"
198687,Lightning Charging Cable,1,14.95,06/30/22 18:01,"717 Center St, Boston, MA 02215"
198688,Lightning Charging Cable,1,14.95,06/26/22 00:59,"13 Chestnut St, Dallas, TX 75001"
198689,LG Dryer,1,600.0,06/02/22 23:05,"224 South St, Los Angeles, CA 90001"
198690,USB-C Charging Cable,1,11.95,06/08/22 10:49,"622 Pine St, San Francisco, CA 94016"
198691,USB-C Charging Cable,1,11.95,06/04/22 16:07,"13 Pine St, San Francisco, CA 94016"
198692,Wired Headphones,1,11.99,06/30/22 22:16,"853 10th St, San Francisco, CA 94016"
198693,Lightning Charging Cable,1,14.95,06/11/22 18:27,"79 5th St, New York City, NY 10001"
198694,34in Ultrawide Monitor,1,379.99,06/25/22 22:44,"551 2nd St, Portland, OR 97035"
198694,Lightning Charging Cable,1,14.95,06/25/22 22:44,"551 2nd St, Portland, OR 97035"
198695,Lightning Charging Cable,1,14.95,06/29/22 22:52,"490 Hickory St, San Francisco, CA 94016"
198696,Apple Airpods Headphones,1,150.0,06/15/22 10:08,"514 11th St, New York City, NY 10001"
198697,AAA Batteries (4-pack),1,2.99,06/24/22 11:20,"13 Cherry St, San Francisco, CA 94016"
198698,27in FHD Monitor,1,149.99,06/27/22 18:35,"143 9th St, Seattle, WA 98101"
198699,27in 4K Gaming Monitor,1,389.99,06/18/22 16:00,"678 West St, San Francisco, CA 94016"
198700,34in Ultrawide Monitor,1,379.99,06/20/22 12:12,"630 Pine St, Atlanta, GA 30301"
198701,Flatscreen TV,1,300.0,06/13/22 22:24,"264 1st St, Los Angeles, CA 90001"
198702,USB-C Charging Cable,1,11.95,06/25/22 10:07,"614 North St, Austin, TX 73301"
198703,Bose SoundSport Headphones,1,99.99,06/16/22 16:50,"879 Jackson St, Boston, MA 02215"
198704,27in FHD Monitor,1,149.99,06/09/22 15:50,"303 Forest St, Austin, TX 73301"
198705,20in Monitor,1,109.99,06/29/22 13:35,"796 Park St, New York City, NY 10001"
198706,20in Monitor,1,109.99,06/01/22 20:09,"442 9th St, San Francisco, CA 94016"
198707,Google Phone,1,600.0,06/18/22 22:56,"192 River St, Austin, TX 73301"
198708,Vareebadd Phone,1,400.0,06/08/22 13:49,"476 2nd St, New York City, NY 10001"
198709,AAA Batteries (4-pack),1,2.99,06/13/22 15:32,"226 Cedar St, Dallas, TX 75001"
198710,Wired Headphones,1,11.99,06/07/22 18:02,"352 Walnut St, Atlanta, GA 30301"
198711,Apple Airpods Headphones,1,150.0,06/03/22 22:07,"273 West St, Dallas, TX 75001"
198712,AAA Batteries (4-pack),1,2.99,06/09/22 11:21,"63 River St, Dallas, TX 75001"
198713,Wired Headphones,1,11.99,06/10/22 23:46,"82 5th St, Seattle, WA 98101"
198714,AAA Batteries (4-pack),1,2.99,06/16/22 22:49,"251 Adams St, New York City, NY 10001"
198715,AA Batteries (4-pack),1,3.84,06/02/22 23:12,"122 Park St, San Francisco, CA 94016"
198716,Flatscreen TV,1,300.0,06/04/22 15:59,"668 Madison St, Seattle, WA 98101"
198716,27in 4K Gaming Monitor,1,389.99,06/04/22 15:59,"668 Madison St, Seattle, WA 98101"
198717,AAA Batteries (4-pack),1,2.99,06/04/22 12:42,"408 Lakeview St, Dallas, TX 75001"
198718,iPhone,1,700.0,06/02/22 17:00,"592 Adams St, Los Angeles, CA 90001"
198718,Lightning Charging Cable,1,14.95,06/02/22 17:00,"592 Adams St, Los Angeles, CA 90001"
198719,AA Batteries (4-pack),1,3.84,06/12/22 15:20,"990 Forest St, New York City, NY 10001"
198720,Bose SoundSport Headphones,1,99.99,06/15/22 12:40,"281 West St, Austin, TX 73301"
198721,27in FHD Monitor,1,149.99,06/21/22 21:32,"557 6th St, Boston, MA 02215"
198722,AAA Batteries (4-pack),5,2.99,06/23/22 09:09,"517 Chestnut St, Los Angeles, CA 90001"
198723,27in 4K Gaming Monitor,1,389.99,06/19/22 12:00,"876 Johnson St, Atlanta, GA 30301"
198724,AAA Batteries (4-pack),1,2.99,06/06/22 11:44,"9 Madison St, Atlanta, GA 30301"
198725,AAA Batteries (4-pack),1,2.99,06/29/22 18:29,"879 Walnut St, Boston, MA 02215"
198726,AAA Batteries (4-pack),1,2.99,06/03/22 22:14,"880 4th St, Los Angeles, CA 90001"
198727,Apple Airpods Headphones,1,150.0,06/22/22 16:39,"105 Pine St, San Francisco, CA 94016"
198728,USB-C Charging Cable,1,11.95,06/21/22 17:20,"478 Lincoln St, Boston, MA 02215"
198729,AA Batteries (4-pack),1,3.84,06/03/22 16:50,"641 North St, San Francisco, CA 94016"
198730,Apple Airpods Headphones,1,150.0,06/18/22 20:50,"554 North St, Austin, TX 73301"
198731,USB-C Charging Cable,1,11.95,06/08/22 09:37,"304 Spruce St, Boston, MA 02215"
198732,Lightning Charging Cable,1,14.95,06/26/22 12:41,"603 14th St, New York City, NY 10001"
198733,Apple Airpods Headphones,1,150.0,06/29/22 18:23,"303 Walnut St, Los Angeles, CA 90001"
198733,Wired Headphones,1,11.99,06/29/22 18:23,"303 Walnut St, Los Angeles, CA 90001"
198734,USB-C Charging Cable,1,11.95,06/18/22 20:36,"749 11th St, Boston, MA 02215"
198735,Apple Airpods Headphones,1,150.0,06/17/22 12:01,"662 Cedar St, Austin, TX 73301"
198736,Wired Headphones,1,11.99,06/06/22 11:39,"354 Ridge St, New York City, NY 10001"
198737,Wired Headphones,1,11.99,06/19/22 21:25,"699 Meadow St, Atlanta, GA 30301"
198738,Apple Airpods Headphones,1,150.0,06/07/22 14:18,"906 Lincoln St, Dallas, TX 75001"
198739,Bose SoundSport Headphones,1,99.99,06/07/22 07:41,"364 North St, San Francisco, CA 94016"
198740,Lightning Charging Cable,1,14.95,06/05/22 11:05,"441 North St, Portland, OR 97035"
198741,Bose SoundSport Headphones,1,99.99,06/01/22 14:51,"141 Forest St, Boston, MA 02215"
198742,27in FHD Monitor,1,149.99,06/21/22 17:08,"554 South St, Atlanta, GA 30301"
198743,Flatscreen TV,1,300.0,06/11/22 14:07,"402 13th St, Atlanta, GA 30301"
198744,USB-C Charging Cable,1,11.95,06/02/22 17:21,"486 Spruce St, Los Angeles, CA 90001"
198745,iPhone,1,700.0,06/12/22 18:27,"928 Lakeview St, Dallas, TX 75001"
198745,Lightning Charging Cable,1,14.95,06/12/22 18:27,"928 Lakeview St, Dallas, TX 75001"
198746,Apple Airpods Headphones,1,150.0,06/24/22 14:01,"261 Sunset St, Atlanta, GA 30301"
198747,Google Phone,1,600.0,06/05/22 18:26,"234 Hickory St, Seattle, WA 98101"
198748,Lightning Charging Cable,2,14.95,06/09/22 13:54,"145 1st St, San Francisco, CA 94016"
198749,USB-C Charging Cable,1,11.95,06/24/22 21:19,"684 Main St, New York City, NY 10001"
198750,Macbook Pro Laptop,1,1700.0,06/11/22 17:14,"677 4th St, Portland, ME 04101"
198751,Macbook Pro Laptop,1,1700.0,06/22/22 09:27,"210 Cedar St, Portland, OR 97035"
198752,Apple Airpods Headphones,1,150.0,06/30/22 17:42,"204 Highland St, Boston, MA 02215"
198753,ThinkPad Laptop,1,999.99,06/18/22 20:24,"963 Spruce St, San Francisco, CA 94016"
198754,Lightning Charging Cable,1,14.95,06/02/22 09:33,"393 Lakeview St, New York City, NY 10001"
198755,AA Batteries (4-pack),1,3.84,06/10/22 12:57,"472 10th St, New York City, NY 10001"
198756,Google Phone,1,600.0,06/29/22 22:40,"382 Johnson St, Seattle, WA 98101"
198757,34in Ultrawide Monitor,1,379.99,06/15/22 13:46,"419 Forest St, Atlanta, GA 30301"
198758,AA Batteries (4-pack),1,3.84,06/27/22 18:23,"79 Ridge St, Portland, OR 97035"
198759,Apple Airpods Headphones,1,150.0,06/09/22 10:13,"94 Lake St, Austin, TX 73301"
198760,AAA Batteries (4-pack),3,2.99,06/22/22 14:29,"297 West St, San Francisco, CA 94016"
198761,AA Batteries (4-pack),1,3.84,06/22/22 13:09,"508 14th St, San Francisco, CA 94016"
198762,27in 4K Gaming Monitor,1,389.99,06/03/22 08:57,"477 River St, San Francisco, CA 94016"
198763,AA Batteries (4-pack),1,3.84,06/15/22 14:08,"620 Cedar St, San Francisco, CA 94016"
198764,Google Phone,1,600.0,06/18/22 17:03,"633 Forest St, San Francisco, CA 94016"
198765,Apple Airpods Headphones,1,150.0,06/21/22 13:12,"851 Forest St, Portland, ME 04101"
198766,USB-C Charging Cable,1,11.95,06/21/22 18:04,"593 Madison St, Boston, MA 02215"
198767,Bose SoundSport Headphones,1,99.99,06/23/22 23:50,"134 12th St, Dallas, TX 75001"
198768,Lightning Charging Cable,1,14.95,06/08/22 09:51,"192 Johnson St, Austin, TX 73301"
198769,AA Batteries (4-pack),1,3.84,06/24/22 22:45,"307 Park St, Atlanta, GA 30301"
198770,Bose SoundSport Headphones,1,99.99,06/10/22 12:22,"319 Washington St, San Francisco, CA 94016"
198771,USB-C Charging Cable,1,11.95,06/05/22 11:06,"701 Jackson St, Los Angeles, CA 90001"
198772,Bose SoundSport Headphones,1,99.99,06/05/22 15:58,"56 South St, San Francisco, CA 94016"
198773,AA Batteries (4-pack),1,3.84,06/03/22 10:44,"611 South St, Boston, MA 02215"
198774,USB-C Charging Cable,1,11.95,06/24/22 01:37,"809 Willow St, New York City, NY 10001"
198775,Lightning Charging Cable,1,14.95,06/29/22 17:32,"897 Sunset St, Seattle, WA 98101"
198776,AAA Batteries (4-pack),5,2.99,06/25/22 16:54,"260 8th St, Boston, MA 02215"
198777,iPhone,1,700.0,06/23/22 16:19,"508 Chestnut St, San Francisco, CA 94016"
198778,27in FHD Monitor,1,149.99,06/29/22 11:14,"554 Cherry St, San Francisco, CA 94016"
198779,20in Monitor,1,109.99,06/05/22 14:32,"709 Lake St, New York City, NY 10001"
198780,ThinkPad Laptop,1,999.99,06/20/22 22:23,"185 South St, Los Angeles, CA 90001"
198781,Wired Headphones,1,11.99,06/05/22 15:04,"950 7th St, Boston, MA 02215"
198782,iPhone,1,700.0,06/17/22 21:35,"969 7th St, Seattle, WA 98101"
198783,AAA Batteries (4-pack),5,2.99,06/22/22 16:53,"736 10th St, Portland, OR 97035"
198784,Wired Headphones,1,11.99,06/14/22 22:42,"647 6th St, Austin, TX 73301"
198785,AAA Batteries (4-pack),1,2.99,06/21/22 15:07,"170 Cedar St, Los Angeles, CA 90001"
198786,AAA Batteries (4-pack),1,2.99,06/22/22 08:26,"195 Johnson St, San Francisco, CA 94016"
198787,Wired Headphones,1,11.99,06/22/22 19:12,"592 South St, Boston, MA 02215"
198788,AAA Batteries (4-pack),1,2.99,06/18/22 16:38,"458 Maple St, Atlanta, GA 30301"
198789,Vareebadd Phone,1,400.0,06/30/22 12:13,"473 1st St, New York City, NY 10001"
198789,USB-C Charging Cable,1,11.95,06/30/22 12:13,"473 1st St, New York City, NY 10001"
198790,Wired Headphones,1,11.99,06/05/22 22:57,"988 Park St, Seattle, WA 98101"
198791,Google Phone,1,600.0,06/07/22 11:09,"394 Spruce St, Dallas, TX 75001"
198792,Wired Headphones,2,11.99,06/14/22 23:40,"422 Cherry St, Boston, MA 02215"
198793,AAA Batteries (4-pack),3,2.99,06/07/22 13:13,"844 Dogwood St, San Francisco, CA 94016"
198794,AAA Batteries (4-pack),1,2.99,06/02/22 17:45,"73 14th St, Atlanta, GA 30301"
198795,iPhone,1,700.0,06/24/22 16:36,"30 Hill St, Atlanta, GA 30301"
198796,Apple Airpods Headphones,1,150.0,06/03/22 11:57,"810 Walnut St, Atlanta, GA 30301"
198797,AA Batteries (4-pack),1,3.84,06/24/22 12:47,"856 River St, San Francisco, CA 94016"
198798,Wired Headphones,1,11.99,06/11/22 14:59,"588 Hill St, San Francisco, CA 94016"
198799,AA Batteries (4-pack),1,3.84,06/24/22 16:58,"758 12th St, Los Angeles, CA 90001"
198800,AA Batteries (4-pack),1,3.84,06/15/22 17:39,"989 14th St, Los Angeles, CA 90001"
198801,AAA Batteries (4-pack),1,2.99,06/14/22 18:29,"255 Chestnut St, Los Angeles, CA 90001"
198802,Lightning Charging Cable,1,14.95,06/08/22 08:23,"389 14th St, Boston, MA 02215"
198803,Lightning Charging Cable,1,14.95,06/20/22 22:04,"89 Hill St, Los Angeles, CA 90001"
198804,Apple Airpods Headphones,1,150.0,06/29/22 15:54,"903 Hill St, San Francisco, CA 94016"
198805,27in FHD Monitor,1,149.99,06/27/22 23:03,"262 Main St, Atlanta, GA 30301"
198806,Bose SoundSport Headphones,1,99.99,06/12/22 12:54,"535 Lakeview St, Los Angeles, CA 90001"
198807,LG Washing Machine,1,600.0,06/05/22 06:26,"44 11th St, San Francisco, CA 94016"
198808,Lightning Charging Cable,1,14.95,06/14/22 13:06,"946 Johnson St, Seattle, WA 98101"
198809,ThinkPad Laptop,1,999.99,06/13/22 13:37,"768 Adams St, Dallas, TX 75001"
198810,iPhone,1,700.0,06/03/22 23:02,"741 6th St, Boston, MA 02215"
,,,,,
198811,USB-C Charging Cable,1,11.95,06/29/22 15:45,"928 Park St, San Francisco, CA 94016"
198812,AA Batteries (4-pack),1,3.84,06/19/22 17:56,"590 13th St, San Francisco, CA 94016"
198813,Apple Airpods Headphones,1,150,06/21/22 11:06,"148 7th St, Seattle, WA 98101"
198814,Wired Headphones,1,11.99,06/07/22 00:27,"475 Sunset St, Los Angeles, CA 90001"
198815,USB-C Charging Cable,1,11.95,06/16/22 23:02,"176 Johnson St, San Francisco, CA 94016"
198816,Apple Airpods Headphones,1,150,06/09/22 14:10,"152 10th St, San Francisco, CA 94016"
198817,USB-C Charging Cable,1,11.95,06/06/22 17:39,"940 Cherry St, Seattle, WA 98101"
198818,USB-C Charging Cable,1,11.95,06/07/22 12:45,"633 Church St, Atlanta, GA 30301"
198819,Bose SoundSport Headphones,1,99.99,06/26/22 16:07,"862 Spruce St, New York City, NY 10001"
198820,Apple Airpods Headphones,1,150,06/21/22 21:00,"515 Jackson St, Atlanta, GA 30301"
198821,Google Phone,1,600,06/13/22 08:18,"644 Forest St, Los Angeles, CA 90001"
198821,Bose SoundSport Headphones,1,99.99,06/13/22 08:18,"644 Forest St, Los Angeles, CA 90001"
198822,ThinkPad Laptop,1,999.99,06/10/22 19:11,"183 11th St, Dallas, TX 75001"
