Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
261906,Google Phone,1,600.0,11/29/22 13:15,"887 1st St, New York City, NY 10001"
261907,Bose SoundSport Headphones,1,99.99,11/11/22 16:11,"813 Park St, Portland, OR 97035"
261908,AAA Batteries (4-pack),1,2.99,11/29/22 10:58,"400 Hill St, San Francisco, CA 94016"
261909,20in Monitor,1,109.99,11/01/22 19:34,"589 7th St, Los Angeles, CA 90001"
261910,27in FHD Monitor,1,149.99,11/17/22 10:35,"292 Spruce St, San Francisco, CA 94016"
261911,Apple Airpods Headphones,1,150.0,11/02/22 09:17,"986 Sunset St, Dallas, TX 75001"
261912,Lightning Charging Cable,2,14.95,11/18/22 00:49,"110 Meadow St, Seattle, WA 98101"
261913,27in FHD Monitor,1,149.99,11/27/22 12:20,"689 9th St, San Francisco, CA 94016"
261914,Vareebadd Phone,1,400.0,11/24/22 10:48,"581 7th St, Atlanta, GA 30301"
261914,USB-C Charging Cable,1,11.95,11/24/22 10:48,"581 7th St, Atlanta, GA 30301"
261915,USB-C Charging Cable,1,11.95,11/20/22 13:57,"57 South St, San Francisco, CA 94016"
261916,Lightning Charging Cable,1,14.95,11/27/22 20:52,"913 Jackson St, Los Angeles, CA 90001"
261917,ThinkPad Laptop,1,999.99,11/28/22 12:50,"573 Church St, Boston, MA 02215"
261918,Lightning Charging Cable,1,14.95,11/18/22 12:32,"408 Pine St, San Francisco, CA 94016"
261919,Bose SoundSport Headphones,1,99.99,11/12/22 17:25,"248 Jefferson St, Portland, ME 04101"
261920,27in FHD Monitor,1,149.99,11/11/22 12:15,"472 5th St, San Francisco, CA 94016"
261921,Bose SoundSport Headphones,1,99.99,11/24/22 13:28,"770 Meadow St, San Francisco, CA 94016"
261922,Apple Airpods Headphones,1,150.0,11/01/22 17:56,"637 Center St, Seattle, WA 98101"
261923,Wired Headphones,1,11.99,11/02/22 13:34,"650 Adams St, San Francisco, CA 94016"
261924,iPhone,1,700.0,11/14/22 14:32,"107 North St, Boston, MA 02215"
261924,USB-C Charging Cable,2,11.95,11/14/22 14:32,"107 North St, Boston, MA 02215"
261925,AA Batteries (4-pack),1,3.84,11/30/22 18:47,"684 Jackson St, Dallas, TX 75001"
261926,USB-C Charging Cable,1,11.95,11/01/22 13:00,"377 14th St, New York City, NY 10001"
261927,AAA Batteries (4-pack),2,2.99,11/08/22 00:31,"504 Adams St, Dallas, TX 75001"
261928,USB-C Charging Cable,1,11.95,11/30/22 19:14,"266 Dogwood St, Los Angeles, CA 90001"
261929,27in FHD Monitor,1,149.99,11/27/22 11:23,"593 Wilson St, New York City, NY 10001"
261930,Bose SoundSport Headphones,1,99.99,11/23/22 20:54,"695 Elm St, Seattle, WA 98101"
261931,USB-C Charging Cable,1,11.95,11/20/22 17:29,"596 14th St, San Francisco, CA 94016"
261932,Lightning Charging Cable,1,14.95,11/04/22 14:32,"303 Lake St, Los Angeles, CA 90001"
261933,20in Monitor,1,109.99,11/13/22 22:12,"181 5th St, Los Angeles, CA 90001"
261934,34in Ultrawide Monitor,1,379.99,11/19/22 12:13,"239 Maple St, San Francisco, CA 94016"
261935,AAA Batteries (4-pack),3,2.99,11/18/22 12:03,"823 10th St, New York City, NY 10001"
261936,AA Batteries (4-pack),3,3.84,11/14/22 12:10,"718 Madison St, Los Angeles, CA 90001"
261937,USB-C Charging Cable,1,11.95,11/05/22 17:14,"561 Hickory St, San Francisco, CA 94016"
261938,Bose SoundSport Headphones,1,99.99,11/08/22 00:21,"997 Main St, Los Angeles, CA 90001"
261939,Bose SoundSport Headphones,1,99.99,11/13/22 15:08,"305 Lake St, San Francisco, CA 94016"
261940,AAA Batteries (4-pack),2,2.99,11/05/22 08:19,"298 Dogwood St, New York City, NY 10001"
261941,Flatscreen TV,1,300.0,11/19/22 00:32,"558 5th St, Portland, OR 97035"
261942,Wired Headphones,1,11.99,11/09/22 22:06,"823 13th St, Dallas, TX 75001"
261943,Lightning Charging Cable,1,14.95,11/17/22 00:02,"947 1st St, Atlanta, GA 30301"
261944,USB-C Charging Cable,1,11.95,11/29/22 18:35,"600 10th St, Dallas, TX 75001"
261945,Lightning Charging Cable,1,14.95,11/24/22 16:44,"317 Chestnut St, San Francisco, CA 94016"
261946,Lightning Charging Cable,1,14.95,11/27/22 18:04,"791 Highland St, Boston, MA 02215"
261947,Apple Airpods Headphones,1,150.0,11/23/22 12:08,"222 Madison St, San Francisco, CA 94016"
261948,27in 4K Gaming Monitor,1,389.99,11/12/22 12:12,"242 Washington St, New York City, NY 10001"
261948,Bose SoundSport Headphones,1,99.99,11/12/22 12:12,"242 Washington St, New York City, NY 10001"
261949,AA Batteries (4-pack),1,3.84,11/27/22 15:58,"444 13th St, San Francisco, CA 94016"
261950,ThinkPad Laptop,1,999.99,11/05/22 11:34,"262 9th St, Portland, OR 97035"
261951,LG Washing Machine,1,600.0,11/30/22 22:42,"953 4th St, Dallas, TX 75001"
261952,AAA Batteries (4-pack),1,2.99,11/07/22 14:10,"512 7th St, Austin, TX 73301"
261953,USB-C Charging Cable,2,11.95,11/02/22 14:55,"843 13th St, Boston, MA 02215"
261954,27in FHD Monitor,1,149.99,11/07/22 18:12,"958 Lakeview St, Dallas, TX 75001"
261955,27in 4K Gaming Monitor,1,389.99,11/09/22 11:38,"812 Sunset St, San Francisco, CA 94016"
261956,AA Batteries (4-pack),1,3.84,11/23/22 19:01,"161 Hickory St, San Francisco, CA 94016"
261957,AAA Batteries (4-pack),2,2.99,11/28/22 16:47,"367 6th St, Portland, ME 04101"
261958,Lightning Charging Cable,1,14.95,11/17/22 18:25,"66 Washington St, San Francisco, CA 94016"
261959,27in FHD Monitor,1,149.99,11/12/22 13:44,"15 Jefferson St, Boston, MA 02215"
261960,USB-C Charging Cable,1,11.95,11/02/22 23:19,"864 Lakeview St, Dallas, TX 75001"
261961,Lightning Charging Cable,1,14.95,11/03/22 20:54,"7 11th St, San Francisco, CA 94016"
261962,AAA Batteries (4-pack),2,2.99,11/17/22 10:32,"756 Washington St, Atlanta, GA 30301"
261963,Macbook Pro Laptop,1,1700.0,11/03/22 17:38,"423 Lincoln St, Los Angeles, CA 90001"
261964,AA Batteries (4-pack),2,3.84,11/12/22 19:42,"25 Dogwood St, San Francisco, CA 94016"
261965,Wired Headphones,1,11.99,11/24/22 11:21,"488 Washington St, Austin, TX 73301"
261966,Apple Airpods Headphones,1,150.0,11/29/22 18:37,"700 11th St, Dallas, TX 75001"
261967,AAA Batteries (4-pack),1,2.99,11/02/22 21:39,"885 Main St, San Francisco, CA 94016"
261968,AAA Batteries (4-pack),1,2.99,11/16/22 21:29,"675 North St, Los Angeles, CA 90001"
261969,Vareebadd Phone,1,400.0,11/20/22 13:56,"250 13th St, Boston, MA 02215"
261970,AAA Batteries (4-pack),2,2.99,11/27/22 10:23,"596 Hill St, Boston, MA 02215"
261971,USB-C Charging Cable,1,11.95,11/25/22 13:19,"360 13th St, San Francisco, CA 94016"
261972,Wired Headphones,1,11.99,11/24/22 20:20,"402 Cedar St, San Francisco, CA 94016"
261973,AAA Batteries (4-pack),1,2.99,11/16/22 21:40,"270 4th St, Seattle, WA 98101"
261974,AAA Batteries (4-pack),2,2.99,11/22/22 11:09,"431 Park St, Portland, OR 97035"
261975,Wired Headphones,1,11.99,11/24/22 22:49,"938 5th St, Seattle, WA 98101"
261976,Flatscreen TV,1,300.0,11/25/22 09:58,"965 Maple St, San Francisco, CA 94016"
261977,USB-C Charging Cable,1,11.95,11/16/22 16:47,"575 Chestnut St, San Francisco, CA 94016"
261978,AA Batteries (4-pack),1,3.84,11/29/22 15:36,"848 Church St, Portland, ME 04101"
261979,34in Ultrawide Monitor,1,379.99,11/15/22 16:24,"803 7th St, Seattle, WA 98101"
261980,USB-C Charging Cable,2,11.95,11/20/22 23:07,"648 Cedar St, Seattle, WA 98101"
261981,Lightning Charging Cable,1,14.95,11/03/22 12:53,"558 12th St, New York City, NY 10001"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
261982,Lightning Charging Cable,1,14.95,11/16/22 12:51,"770 Wilson St, Boston, MA 02215"
261983,Lightning Charging Cable,1,14.95,11/29/22 01:08,"485 Spruce St, Dallas, TX 75001"
261984,Google Phone,1,600,11/16/22 19:33,"172 Dogwood St, Atlanta, GA 30301"
261984,USB-C Charging Cable,1,11.95,11/16/22 19:33,"172 Dogwood St, Atlanta, GA 30301"
261985,Apple Airpods Headphones,1,150,11/23/22 16:25,"942 Chestnut St, Boston, MA 02215"
261986,Bose SoundSport Headphones,1,99.99,11/15/22 08:01,"505 6th St, Los Angeles, CA 90001"
261987,Wired Headphones,1,11.99,11/06/22 21:14,"928 Elm St, Boston, MA 02215"
261988,27in 4K Gaming Monitor,1,389.99,11/11/22 06:12,"350 Maple St, Austin, TX 73301"
261989,Wired Headphones,1,11.99,11/19/22 08:27,"886 1st St, New York City, NY 10001"
261990,34in Ultrawide Monitor,1,379.99,11/26/22 18:56,"24 Ridge St, Los Angeles, CA 90001"
261991,USB-C Charging Cable,1,11.95,11/28/22 15:36,"341 4th St, Los Angeles, CA 90001"
261992,Bose SoundSport Headphones,1,99.99,11/15/22 13:08,"629 West St, Atlanta, GA 30301"
