Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
249652,AA Batteries (4-pack),1,3.84,10/24/22 07:16,"528 Park St, Atlanta, GA 30301"
249653,Apple Airpods Headphones,1,150.0,10/28/22 16:06,"458 10th St, New York City, NY 10001"
249654,27in FHD Monitor,1,149.99,10/29/22 19:42,"493 Lakeview St, Austin, TX 73301"
249655,27in FHD Monitor,1,149.99,10/18/22 16:00,"512 13th St, Boston, MA 02215"
249656,Bose SoundSport Headphones,1,99.99,10/07/22 15:59,"626 14th St, Austin, TX 73301"
249657,ThinkPad Laptop,1,999.99,10/02/22 17:07,"392 9th St, Dallas, TX 75001"
249658,27in FHD Monitor,1,149.99,10/27/22 19:58,"444 West St, Seattle, WA 98101"
249659,USB-C Charging Cable,1,11.95,10/14/22 20:59,"757 Sunset St, Boston, MA 02215"
249660,Lightning Charging Cable,1,14.95,10/06/22 11:19,"227 Dogwood St, Los Angeles, CA 90001"
249661,Google Phone,1,600.0,10/20/22 18:27,"665 Maple St, Seattle, WA 98101"
249662,Apple Airpods Headphones,1,150.0,10/28/22 03:44,"671 9th St, San Francisco, CA 94016"
249663,Bose SoundSport Headphones,1,99.99,10/04/22 09:04,"660 Chestnut St, Los Angeles, CA 90001"
249664,27in 4K Gaming Monitor,1,389.99,10/16/22 21:14,"587 13th St, San Francisco, CA 94016"
249665,LG Dryer,1,600.0,10/13/22 12:36,"131 Spruce St, New York City, NY 10001"
249666,AAA Batteries (4-pack),1,2.99,10/31/22 08:52,"643 Jefferson St, Seattle, WA 98101"
249667,AA Batteries (4-pack),4,3.84,10/21/22 22:31,"360 9th St, Dallas, TX 75001"
249668,Bose SoundSport Headphones,1,99.99,10/24/22 15:48,"128 Park St, Seattle, WA 98101"
249669,AAA Batteries (4-pack),1,2.99,10/24/22 22:04,"130 Lake St, Dallas, TX 75001"
249670,Bose SoundSport Headphones,1,99.99,10/22/22 20:05,"713 Pine St, Los Angeles, CA 90001"
249671,Flatscreen TV,1,300.0,10/30/22 10:17,"800 13th St, Los Angeles, CA 90001"
249672,Bose SoundSport Headphones,1,99.99,10/30/22 15:31,"353 14th St, Boston, MA 02215"
249673,27in 4K Gaming Monitor,1,389.99,10/18/22 21:33,"131 4th St, New York City, NY 10001"
249674,AA Batteries (4-pack),2,3.84,10/12/22 11:37,"597 Wilson St, Seattle, WA 98101"
249675,Bose SoundSport Headphones,1,99.99,10/03/22 19:38,"204 Church St, San Francisco, CA 94016"
249676,Apple Airpods Headphones,1,150.0,10/03/22 19:41,"177 Ridge St, San Francisco, CA 94016"
249677,AA Batteries (4-pack),1,3.84,10/04/22 12:20,"506 South St, Los Angeles, CA 90001"
249678,USB-C Charging Cable,1,11.95,10/13/22 18:11,"536 9th St, Austin, TX 73301"
249679,Bose SoundSport Headphones,1,99.99,10/23/22 08:18,"64 Wilson St, San Francisco, CA 94016"
249680,USB-C Charging Cable,1,11.95,10/21/22 14:38,"904 Elm St, Boston, MA 02215"
249681,Wired Headphones,1,11.99,10/01/22 22:29,"872 9th St, San Francisco, CA 94016"
249682,Lightning Charging Cable,1,14.95,10/06/22 11:43,"996 Madison St, San Francisco, CA 94016"
249683,Lightning Charging Cable,1,14.95,10/07/22 05:15,"438 Meadow St, Los Angeles, CA 90001"
249684,Lightning Charging Cable,1,14.95,10/14/22 14:43,"295 Main St, Boston, MA 02215"
249685,27in FHD Monitor,1,149.99,10/08/22 21:53,"988 Forest St, Atlanta, GA 30301"
249686,Bose SoundSport Headphones,1,99.99,10/19/22 10:14,"934 Walnut St, Boston, MA 02215"
249687,iPhone,1,700.0,10/29/22 01:56,"548 Dogwood St, Boston, MA 02215"
249688,Wired Headphones,1,11.99,10/29/22 09:27,"79 Cherry St, Austin, TX 73301"
249689,20in Monitor,2,109.99,10/02/22 20:27,"645 West St, Dallas, TX 75001"
249690,Lightning Charging Cable,2,14.95,10/03/22 21:24,"316 Wilson St, Boston, MA 02215"
249691,USB-C Charging Cable,1,11.95,10/17/22 09:04,"483 7th St, Los Angeles, CA 90001"
249692,AAA Batteries (4-pack),2,2.99,10/12/22 19:07,"926 9th St, San Francisco, CA 94016"
249693,20in Monitor,1,109.99,10/08/22 12:32,"618 5th St, Portland, OR 97035"
249694,AA Batteries (4-pack),2,3.84,10/31/22 21:31,"800 Johnson St, Los Angeles, CA 90001"
249695,AAA Batteries (4-pack),1,2.99,10/16/22 15:57,"773 Wilson St, Dallas, TX 75001"
249696,Apple Airpods Headphones,1,150.0,10/12/22 14:57,"331 Lincoln St, Atlanta, GA 30301"
249697,27in FHD Monitor,1,149.99,10/26/22 18:51,"33 Cherry St, New York City, NY 10001"
249698,Lightning Charging Cable,1,14.95,10/12/22 15:43,"725 12th St, Los Angeles, CA 90001"
249699,Lightning Charging Cable,1,14.95,10/18/22 13:28,"234 Ridge St, Boston, MA 02215"
249700,AAA Batteries (4-pack),2,2.99,10/21/22 04:52,"802 Highland St, Seattle, WA 98101"
249701,iPhone,1,700.0,10/18/22 09:52,"740 Meadow St, Atlanta, GA 30301"
249702,27in 4K Gaming Monitor,1,389.99,10/31/22 12:46,"146 5th St, Boston, MA 02215"
249703,Bose SoundSport Headphones,1,99.99,10/02/22 12:56,"537 Forest St, Seattle, WA 98101"
249704,AAA Batteries (4-pack),1,2.99,10/29/22 03:11,"287 North St, Los Angeles, CA 90001"
249705,Wired Headphones,1,11.99,10/09/22 01:49,"646 4th St, New York City, NY 10001"
249706,AAA Batteries (4-pack),2,2.99,10/10/22 08:05,"184 Madison St, Dallas, TX 75001"
249707,AA Batteries (4-pack),1,3.84,10/15/22 20:20,"29 Dogwood St, Atlanta, GA 30301"
249708,34in Ultrawide Monitor,1,379.99,10/23/22 15:46,"12 Ridge St, Los Angeles, CA 90001"
249709,Wired Headphones,1,11.99,10/11/22 11:16,"69 Lincoln St, San Francisco, CA 94016"
249710,USB-C Charging Cable,2,11.95,10/12/22 15:30,"167 Adams St, Los Angeles, CA 90001"
249711,Bose SoundSport Headphones,1,99.99,10/04/22 00:26,"184 Meadow St, Los Angeles, CA 90001"
249712,USB-C Charging Cable,1,11.95,10/06/22 15:22,"346 Church St, Boston, MA 02215"
249713,AAA Batteries (4-pack),7,2.99,10/01/22 11:54,"24 Washington St, Seattle, WA 98101"
249714,Bose SoundSport Headphones,1,99.99,10/03/22 08:17,"989 13th St, Los Angeles, CA 90001"
249715,Bose SoundSport Headphones,1,99.99,10/06/22 12:27,"359 Cedar St, Los Angeles, CA 90001"
249716,AAA Batteries (4-pack),1,2.99,10/22/22 21:45,"693 Madison St, Los Angeles, CA 90001"
249717,USB-C Charging Cable,1,11.95,10/10/22 15:32,"963 Pine St, San Francisco, CA 94016"
249718,USB-C Charging Cable,1,11.95,10/06/22 20:16,"673 4th St, Boston, MA 02215"
249719,20in Monitor,1,109.99,10/09/22 14:44,"300 Maple St, Los Angeles, CA 90001"
249720,Apple Airpods Headphones,1,150.0,10/27/22 16:04,"130 Ridge St, Seattle, WA 98101"
249721,Macbook Pro Laptop,1,1700.0,10/16/22 11:18,"787 Walnut St, Austin, TX 73301"
249722,AAA Batteries (4-pack),2,2.99,10/28/22 12:54,"969 7th St, Boston, MA 02215"
249723,20in Monitor,1,109.99,10/04/22 11:50,"131 Willow St, Atlanta, GA 30301"
249724,34in Ultrawide Monitor,1,379.99,10/09/22 17:06,"344 Meadow St, Boston, MA 02215"
249725,Google Phone,1,600.0,10/02/22 12:42,"630 Pine St, Dallas, TX 75001"
249726,AAA Batteries (4-pack),2,2.99,10/05/22 12:15,"773 2nd St, Seattle, WA 98101"
249727,Lightning Charging Cable,1,14.95,10/29/22 11:46,"517 1st St, San Francisco, CA 94016"
249728,USB-C Charging Cable,1,11.95,10/31/22 23:15,"145 West St, Boston, MA 02215"
