Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
236776,Flatscreen TV,1,300.0,09/16/22 02:03,"940 South St, New York City, NY 10001"
236777,iPhone,1,700.0,09/10/22 22:15,"889 10th St, Atlanta, GA 30301"
236778,iPhone,1,700.0,09/14/22 13:37,"239 Dogwood St, Los Angeles, CA 90001"
236779,iPhone,1,700.0,09/21/22 09:46,"281 9th St, Austin, TX 73301"
236780,Bose SoundSport Headphones,1,99.99,09/03/22 19:45,"449 Cherry St, Seattle, WA 98101"
236781,Macbook Pro Laptop,1,1700.0,09/17/22 07:38,"249 Lincoln St, Dallas, TX 75001"
236782,AAA Batteries (4-pack),4,2.99,09/03/22 10:35,"429 Walnut St, Portland, OR 97035"
236783,Wired Headphones,1,11.99,09/25/22 18:50,"133 West St, Portland, OR 97035"
236784,Bose SoundSport Headphones,1,99.99,09/26/22 18:27,"303 Highland St, Austin, TX 73301"
236785,Flatscreen TV,1,300.0,09/29/22 22:27,"991 Madison St, San Francisco, CA 94016"
236786,Apple Airpods Headphones,1,150.0,09/07/22 16:57,"735 10th St, Los Angeles, CA 90001"
236787,USB-C Charging Cable,1,11.95,09/04/22 18:26,"313 1st St, Los Angeles, CA 90001"
236788,AA Batteries (4-pack),1,3.84,09/28/22 13:29,"72 Jefferson St, Atlanta, GA 30301"
236789,27in 4K Gaming Monitor,1,389.99,09/19/22 09:40,"113 Main St, Austin, TX 73301"
236790,27in FHD Monitor,1,149.99,09/01/22 16:20,"694 6th St, Los Angeles, CA 90001"
236791,Macbook Pro Laptop,1,1700.0,09/11/22 10:25,"482 Hickory St, Portland, ME 04101"
236792,USB-C Charging Cable,1,11.95,09/30/22 15:39,"139 River St, San Francisco, CA 94016"
236793,USB-C Charging Cable,2,11.95,09/22/22 16:33,"339 River St, Atlanta, GA 30301"
236794,LG Washing Machine,1,600.0,09/23/22 15:57,"100 Lakeview St, Portland, OR 97035"
236795,AAA Batteries (4-pack),1,2.99,09/19/22 08:49,"259 12th St, Dallas, TX 75001"
236796,27in FHD Monitor,1,149.99,09/02/22 18:09,"149 4th St, Boston, MA 02215"
236797,ThinkPad Laptop,1,999.99,09/17/22 14:45,"358 North St, Dallas, TX 75001"
236798,20in Monitor,1,109.99,09/05/22 14:37,"477 West St, San Francisco, CA 94016"
236799,Bose SoundSport Headphones,1,99.99,09/17/22 11:46,"931 South St, San Francisco, CA 94016"
236800,AAA Batteries (4-pack),1,2.99,09/05/22 10:32,"793 5th St, Los Angeles, CA 90001"
236801,27in FHD Monitor,1,149.99,09/20/22 23:32,"512 8th St, New York City, NY 10001"
236802,34in Ultrawide Monitor,1,379.99,09/23/22 12:23,"218 Jackson St, Los Angeles, CA 90001"
236803,Bose SoundSport Headphones,1,99.99,09/26/22 17:17,"463 South St, Atlanta, GA 30301"
236804,Lightning Charging Cable,1,14.95,09/16/22 08:18,"618 6th St, New York City, NY 10001"
236805,Wired Headphones,1,11.99,09/13/22 21:28,"376 Wilson St, San Francisco, CA 94016"
236806,Apple Airpods Headphones,1,150.0,09/28/22 19:56,"678 6th St, Portland, ME 04101"
236807,Apple Airpods Headphones,1,150.0,09/29/22 14:09,"490 1st St, Los Angeles, CA 90001"
236808,Apple Airpods Headphones,1,150.0,09/30/22 22:42,"722 Jackson St, Boston, MA 02215"
236809,AA Batteries (4-pack),1,3.84,09/01/22 11:50,"503 Hickory St, Los Angeles, CA 90001"
236810,AA Batteries (4-pack),1,3.84,09/07/22 17:11,"510 Adams St, Boston, MA 02215"
236811,Vareebadd Phone,1,400.0,09/19/22 17:36,"421 Madison St, Seattle, WA 98101"
236811,Wired Headphones,1,11.99,09/19/22 17:36,"421 Madison St, Seattle, WA 98101"
236812,20in Monitor,1,109.99,09/22/22 14:40,"456 Willow St, Dallas, TX 75001"
236813,Apple Airpods Headphones,1,150.0,09/29/22 17:54,"564 8th St, Austin, TX 73301"
236814,USB-C Charging Cable,1,11.95,09/20/22 11:44,"879 Wilson St, Portland, OR 97035"
236815,USB-C Charging Cable,1,11.95,09/11/22 12:12,"147 Meadow St, Dallas, TX 75001"
